Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
92766-85983,QB,Hendon,Hendon Hooker,Hooker,,,5000,DET@KC,DET,KC,IR,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
92766-56289,RB,Jason,Jason Cabinda,Cabinda,0.3499999940395355,4,5000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-85986,TE,James,James Mitchell,Mitchell,2.8499999046325684,8,5000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-90981,QB,Adrian,Adrian Martinez,Martinez,,,5000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-104424,RB,Craig,Craig Reynolds,Reynolds,4.383333206176758,6,5000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-52463,TE,Daniel,Daniel Helm,Helm,0.20000000298023224,2,5000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-14194,QB,Blaine,Blaine Gabbert,Gabbert,5.159999847412109,1,5000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-85881,RB,Mohamed,Mohamed Ibrahim,Ibrahim,,,5000,DET@KC,DET,KC,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
92766-41469,TE,Darrell,Darrell Daniels,Daniels,0.34000000953674314,5,5000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-104447,TE,Jody,Jody Fortson,Fortson,2.529999923706055,10,5000,DET@KC,KC,DET,IR,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
